/*********************************************
 * OPL 22.1.0.0 Data
 * Author: pieklik&dams
 * Creation Date: Mar 23, 2022 at 5:40:11 PM
 *********************************************/
executors_count = 20;
tasks_count = 20;
cost = [
	[10,29,15,31,8,34,29,5,22,17,31,25,1,28,49,1,49,26,48,7],
	[30,21,12,4,31,7,7,26,12,34,47,31,31,27,6,49,45,31,49,43],
	[38,34,9,31,7,8,9,50,13,13,31,6,45,39,23,5,50,32,31,4],
	[20,32,9,1,21,35,36,30,15,9,27,8,27,10,4,7,7,5,44,8],
	[35,12,25,28,23,5,10,16,41,47,2,34,7,29,17,33,21,29,27,4],
	[21,17,23,9,38,32,16,40,35,39,31,7,18,46,10,36,11,39,40,25],
	[47,11,2,46,32,3,48,3,24,32,11,5,15,25,35,18,2,31,21,37],
	[28,48,44,25,47,23,50,15,37,20,33,2,15,7,15,35,30,28,35,2],
	[31,43,3,43,41,6,16,48,46,28,25,42,42,6,33,48,20,38,5,3],
	[43,30,48,29,15,23,16,4,47,11,30,12,40,47,34,40,43,37,43,40],
	[8,35,40,31,15,22,26,17,15,44,9,6,10,49,36,12,28,34,40,36],
	[45,19,19,8,5,28,38,30,2,18,36,18,30,8,13,34,20,40,25,33],
	[2,5,44,12,50,46,23,13,46,20,18,6,39,49,26,32,15,19,15,11],
	[41,35,32,13,44,26,26,40,36,21,32,31,35,1,15,12,16,10,37,11],
	[35,13,12,16,27,37,47,10,28,21,17,35,13,43,43,10,28,8,29,38],
	[14,47,15,15,38,28,47,4,12,18,7,30,22,4,25,46,2,37,48,47],
	[6,5,15,34,46,45,1,27,47,34,3,8,39,40,36,19,19,48,11,12],
	[33,4,34,8,44,18,38,24,47,22,39,5,3,15,10,33,22,4,7,29],
	[48,9,11,29,38,40,10,24,38,15,37,13,7,7,4,17,37,16,14,21],
	[48,6,33,10,39,14,49,36,35,11,13,9,18,5,10,15,49,24,42,15],
];
