/*********************************************
 * OPL 22.1.0.0 Data
 * Author: pieklik&dams
 * Creation Date: Mar 23, 2022 at 5:40:01 PM
 *********************************************/
executors_count = 10;
tasks_count = 10;
cost = [
	[10,29,15,31,8,34,29,5,22,17],
	[31,25,1,28,49,1,49,26,48,7],
	[30,21,12,4,31,7,7,26,12,34],
	[47,31,31,27,6,49,45,31,49,43],
	[38,34,9,31,7,8,9,50,13,13],
	[31,6,45,39,23,5,50,32,31,4],
	[20,32,9,1,21,35,36,30,15,9],
	[27,8,27,10,4,7,7,5,44,8],
	[35,12,25,28,23,5,10,16,41,47],
	[2,34,7,29,17,33,21,29,27,4],
];
